ID,Followers,Answers
20151024151612AAHz3ur,0,9
20151024135401AAiNkr4,0,5
20151024132154AAUsWPE,0,2
20151024122705AA6Pu7A,0,8
20151024090630AAsl9Pj,0,9
20151024075256AA53vec,0,9
20151024071615AA7geak,0,10
20151024063251AAkEKJQ,1,9
20151024043302AAocKwf,2,7
20151024033306AAw2hpM,0,6
20151024014506AAHjyU2,0,4
20151024010528AAP0QFW,0,10
20151024004739AAFNwqn,0,5
20151023203848AAcD64X,0,2
20151023193119AADOt20,3,10
20151023190706AAsvprs,0,4
20151023175549AAftkdO,0,5
20151023170025AAcINPD,0,7
20151023142833AAKWfgz,0,5
20151023092600AAuBnJ6,0,10
20151023080455AAzlgh6,0,10
20151023064231AACRWu7,0,10
20151023060358AA7V3F5,1,9
20151023043252AAf9Tb1,0,5
20151022213803AAaHy20,0,10
20151022190156AAXHTgA,0,6
20151022101201AAe7SH9,0,10
20151022041642AATlFFc,0,5
20151022025502AAM4MPs,0,6
20151022010213AAdOMrI,0,7
20151021220018AA7KFX9,0,4
20151021172010AAA1uVQ,0,8
20151021171645AAvhO4p,0,5
20151021134606AAiOUiR,0,10
20151021132630AADXYSX,0,10
20151021123722AAr3if4,0,9
20151021122003AA6Z2hL,1,9
20151021113958AAIUKVL,0,4
20151021065747AAPcpPu,0,10
20151021051016AAWRnNH,0,7
20151020163932AAxmvWE,0,6
20151020144034AADeXal,0,5
20151019180753AALnJyf,0,4
20151019131714AA8Jdl2,0,3
20151019011138AAIvlpe,0,6
20151017161602AAofbY0,0,7
20151015200544AADEV8l,0,10
20151015124641AABfRdu,1,7
20151014053138AA1nuN9,1,9
20151013134238AASJRv7,1,9
20151012134731AA9YvjX,0,5
20151012122214AAvvV31,0,7
20151011232512AAuPmi1,1,4
20151011131729AAYjpco,0,10
20151010210352AAia2Xf,0,3
20151010001943AAsrWzt,0,9
20151009051517AASbKpd,0,8
20151008182432AA336nY,0,4
20151007132503AASi3SY,0,8
20151006134353AAUfIKV,0,6
20151004162551AASzZqi,0,4
20151002091802AALZxfU,0,10
20151001204038AAw09o6,1,9
20151001191846AAAtgFl,0,10
20151001115330AAnXlYz,0,9
20150930194255AAHQHA5,0,5
20150930152327AAhyqAC,0,4
20150927172045AA1sP6D,6,10
20150927004923AAiS4G0,4,10
20150926155427AAN0XLx,0,4
20150925081241AAaorZC,0,5
20150925054925AA2qmsh,0,4
20150924145223AAgfhHK,0,7
20150924134831AAIjWXa,0,4
20150923172632AAyAing,0,5
20150921215613AAWVXwF,0,9
20150921152245AAhF2fu,1,6
20150921094551AAYjT5v,0,5
20150921060302AA2k9Tq,0,6
20150916062900AAkOLEq,0,7
20150915080939AAipZb9,0,9
20150913182516AA5Ov3y,1,6
20150910064425AAUhT3w,0,3
20150907094859AAXaH0b,0,3
20150905184547AANorng,1,9
20150829152814AAcKyhk,0,10
20150829134857AALd3uK,0,8
20150829085715AAcSlQr,0,4
20150826153640AA6TLzt,0,3
20150824202741AAdLZVU,0,8
20150821010227AAgVlrP,0,2
20150802184944AAAk2Z8,0,4
20150710074446AAWWSpZ,0,10
20140212162552AAEcUyf,2,3
20130314221330AAi8n6H,0,4
20130113080719AAF4OFX,0,4
